A Floating City, and The Blockade Runners	Q61903735
Hector Servadac	Q64026890
Na około Księżyca	Q59784423
Piętnastoletni kapitan	Q59784733
Carski sel	Q59787450
Nový hrabě Monte Kristo	Q64785599
Det sorte Indien	Q59812459
Tajemnicza wyspa (1875)	Q59785067
Wyspa tajemnicza	Q59785148
Zielony promień	Q59786045
Wśród lodów polarnych	Q59787241
A Trip to the Center of the Earth	Q60666276
Till Jordens Medelpunkt	Q65523493
Tsarens kurir : från Moskva till Irkutsk	Q65523621
Åtta hundra mil på Amasonfloden	Q65524227
Den Hemlighetsfulla ön	Q65525510
En Verdensomsejling under Havet	Q65525707
En öfvervintring i polarisen; En bestigning af Mont-Blanc	Q65526020
Från jorden till månen. Direkt öfverfart på 97 timmar 20 minuter.	Q65526616
Ingenjör Roburs luftfärd	Q65527436
Jorden rundt paa 80 dage	Q65527591
Jorden runt på 80 dagar. För Sveriges ungdom fritt berättad efter Jules Verne	Q65527592
Kaptein Grants Børn. Fortælling	Q65527667
Kaptajn Grants børn. En Rejse omkring Jorden	Q65527665
Keraban Stivnakke. Rejse fra Konstantinopel til Skutari rundt om det sorte Hav	Q65527714
Matthias Sandorf	Q65528324
Reise til Jordens Centrum	Q65529494
Rundt om Jorden i 80 Dage	Q65529603
Adrift in the Pacific	Q78616436
Rownd y byd mewn 80 diwrnod	Q79290290
Ninety-three	Q44974329
Les Misérables	Q59163346
Cromwell	Q449717
Toilers of the Sea	Q1211109
The Man Who Laughs	Q43682738
Torquemada	Q1249139
Hernani	Q42317363
The Hunchback of Notre Dame	Q191380
Totuus	Q87337807
La vérité en marche	Q87343534
Œuvres critiques	Q87343787
Bug-Jargal	Q1219303
Actes et paroles - Pendant l'exil	Q2823589
L'Art d'être grand-père	Q2587517
The Attack on the Mill	Q52556875
Angelo, Tyrant of Padua	Q2849443
Le roi s'amuse	Q1473603
Actes et paroles - Depuis l'exil	Q2823590
The Last Day of a Condemned Man	Q1199417
L'Inondation	Q6455776
Han d'Islande	Q2496854
Earth	Q42184569
Mes haines	Q19218981
Le Docteur Pascal	Q42396857
Au bonheur des dames	Q51954958
Teresa Raquin	Q57078430
Feta w Coqueville	Q19138398
The Rush for the Spoil	Q56611488
Truth	Q87335862
La Vérité	Q87335144
L’Attaque du moulin	Q52556871
Dagbräckning	Q65525290
Fällan	Q65526654
Pengar. Roman	Q65529264
My hatreds ; Mes Haines	Q68838996
Les Orientales	Q3085613
Le Pape	Q3225182
Marie Tudor	Q23704863
William Shakespeare	Q8018310
Dieu	Q3027560
Marion de Lorme	Q3061677
Ruy Blas	Q3085278
Les Burgraves	Q3231195
Clair de lune	Q730599
Claude Gueux	Q2977508
Les Contemplations	Q3231725
Les Feuilles d'automne	Q3232576
Odes et Ballades	Q3349153
The History of a Crime	Q3136618
L'Année terrible	Q3202120
Actes et Paroles	Q4676787
Demain dès l'aube	Q3021978
Lucrèce Borgia	Q3265982
Les Châtiments	Q3231547
Les Rayons et les Ombres	Q3235093
Things Seen	Q17624721
La Légende des siècles	Q3086219
Mangeront-ils ?	Q3285739
Littérature et philosophie mêlées	Q19100201
Napoléon le Petit	Q6965106
Religions et religion	Q7311276
L'Âne	Q3205081
La Fin de Satan	Q3208944
Les Voix intérieures	Q3236145
Slaughterhouse-Five	Q265954
2 B R 0 2 B	Q2127756
Bluebeard	Q2443804
Hocus Pocus	Q2085170
Slapstick	Q60412593
Galápagos	Q2527126
Harrison Bergeron	Q3025364
A Flea in Her Ear	Q3212044
Le Dindon	Q3222323
Bagombo Snuff Box	Q60414902
Satire	Q3950769
Any Reasonable Offer	Q4271877
Mnemonics	Q4298797
All the King's Horses	Q4730143
Fortitude	Q5472678
The Package	Q4476272
Look at the Birdie	Q60412680
EPICAC	Q5323877
Chat en poche	Q614058
Player Piano	Q649267
Deadeye Dick	Q60413010
God Bless You, Dr. Kevorkian	Q725564
Jailbird	Q60412248
Report on the Barnhouse Effect	Q7314130
God Bless You, Mr. Rosewater	Q2637474
On purge bébé	Q3352279
Un fil à la patte	Q3548599
La Dame de chez Maxim	Q3208097
Palm Sunday	Q3892733
Deer in the Works	Q5250860
Mother Night	Q1470593
Sucker's Portfolio	Q16999548
Welcome to the Monkey House	Q7980813
Canary in a Cathouse	Q5031208
A Man Without a Country	Q60411947
Timequake	Q60413056
Miss Temptation	Q6877539
Who Am I This Time?	Q7997145
While Mortals Sleep (book)	Q13446782
Wampeters, Foma and Granfalloons	Q3711962
Fates Worse Than Death	Q778896
Armageddon in Retrospect	Q58879582
Tomorrow and Tomorrow and Tomorrow	Q7820293
The Sirens of Titan	Q2294155
L'Hôtel du libre échange	Q3203961
Breakfast of Champions	Q60411573
Playboy Science Fiction	Q11819516
Le Système Ribadier	Q3227495
Thanasphere	Q4451048
Complete Stories	Q30668311
13 Rue de l'Amour	Q16149809
Like Shaking Hands with God	Q6547133
If This Isn't Nice, What Is?: Advice to the Young	Q17013021
Cat's Cradle	Q70548832
Happy Birthday, Wanda June	Q57399739
In Search of the Castaways	Q1213902
Propeller Island	Q1215553
The Count of Chanteleine	Q1809817
Captain Antifer	Q1918304
Traveling Scholarships	Q2095705
Tribulations of a Chinaman in China	Q1214433
The Lottery Ticket	Q1304875
Frritt-Flacc	Q1470686
Master Zacharius	Q1581388
Around the World in Eighty Days	Q51954965
Dr. Ox's Experiment	Q1306438
Gil Braltar	Q1523802
Godfrey Morgan	Q1216126
The Mutineers of the Bounty	Q1765386
Mistress Branican	Q1939346
Twenty Thousand Leagues Under the Seas	Q15639843
A Winter Amid the Ice	Q1581338
The Eternal Adam	Q1581974
Backwards to Britain	Q3490158
Le Château des Carpathes	Q21022056
A Drama in Livonia	Q1304388
Journey Through the Impossible	Q2534920
Ten hours hunting	Q3032584
A Floating City	Q1306869
A Drama in the Air	Q1854164
Eight Hundred Leagues on the Amazon	Q1213684
Texar's Revenge, or, North Against South	Q1997545
Vingt mille lieues sous les mers	Q21764615
Czarne Indje	Q19131132
Mengelilingi Doenia Dalam 80 Hari	Q51954981
Černá Indie	Q28869413
Robur	Q56884286
Géographie illustrée de la France et de ses colonies	Q20646597
Děti kapitána Granta	Q56052822
La vuelta al mundo en 80 días	Q51954980
Les Aventures du capitaine Hatteras	Q50940501
20.000 mil podmorskiej żeglugi	Q58364741
Voyage au centre de la Terre	Q41593192
Podróż naokoło świata w ośmdziesiąt dni	Q51954992
Le Tour du monde en quatre-vingts jours	Q51954967
Podróż naokoło świata w 80-ciu dniach	Q51954989
Cinco semanas en globo	Q51623194
Vokrug svyeta za vosyemdyesyat dnyey	Q51954971
Jorden rundt på åttio dagar	Q51954998
A Season in Hell	Q301342
Illuminations	Q2255881
Brassens me disait	Q2923980
Le Bateau ivre	Q332307
New Rules: Polite Musings from a Timid Observer	Q7011357
Sensation	Q17148608
The New New Rules	Q17107314
Adiós	Q19412677
Brassens, Brel, Ferré - Trois voix pour chanter l'amour	Q2923961
Brassens et la Bretagne	Q2923976
Nos fesses ne sont pas les leurs	Q17148611
The Spiritual Hunt	Q3207272
True Story: A Novel	Q17131960
Brassens le libertaire de la chanson	Q2923979
Soleil et chair	Q7557561
When You Ride Alone You Ride with bin Laden	Q7992891
Le Rêve de Bismarck	Q3226800
Vowels	Q3563448
Dans l’eau de la claire fontaine	Q47501696
Monna Vanna	Q628536
La Fausse Suivante	Q1218221
The Blue Bird	Q1367544
Intruder	Q3204277
L'Île des esclaves	Q3205719
La Colonie	Q3207598
Le Paysan parvenu	Q3225376
Le Petit-Maître corrigé	Q3225399
Interior	Q61451476
Annibal	Q675542
Mary Magdalene	Q6780230
The Blind	Q7718586
Erotic tricks	Q87830058
Double Inconstancy	Q60777747
La Méprise	Q3210998
The Game of Love and Chance	Q1170425
La Dispute	Q1798765
The Death of Tintagiles	Q7729457
L'Épreuve	Q3205388
L'Île de la raison	Q3205707
Les Fausses Confidences	Q3232538
The Treasure of the Humble	Q7770050
Félicie	Q3092276
Les Acteurs de bonne foi	Q3230379
Pelléas and Mélisande	Q652182
La Surprise de l'amour	Q3212993
The Triumph of Love	Q7886554
Barabbas	Q30745549
La Vie de Marianne	Q3213603
Hothouses	Q3479982
Arlequin poli par l'amour	Q2861609
La Nouvelle Colonie	Q3211123
Le Préjugé vaincu	Q3226050
Les Sincères	Q3235529
Mahomet second	Q3277873
Princess Maleine	Q7244689
The life of the bee	Q51499480
The Life of the Spider	Q51432921
The Life of the Bee	Q51499467
Old fashioned flowers, and other out-of-door studies	Q51425748
The life of the bee. Translated by Alfred Sutro	Q51432753
Life of the bee	Q51499485
News of spring and other nature studies	Q51510575
Une saison en enfer	Q43795695
A season in hell	Q61450954
Una temporada en el infierno	Q76834956
The Jungle Book	Q189509
Dust	Q1806075
The Light That Failed	Q1517178
Gunga Din	Q3120849
Consequences	Q5162879
Cupid's Arrows	Q5194489
Kim	Q19086249
False Dawn	Q5432636
Kidnapped	Q2349094
In Black and White	Q6009093
The Three Musketeers	Q7769049
The Betrothed	Q28491
The Man Who Would Be King	Q26958189
The Day's Work	Q7729141
Thrown Away	Q7798558
Under the Deodars	Q7883278
Yoked with an Unbeliever	Q8054550
Mandalay	Q1247778
The Fringes of the Fleet	Q3520979
Rikki-Tikki-Tavi	Q30601802
Stalky & Co.	Q4439259
.007	Q4545167
A Germ-Destroyer	Q4656981
Just So Stories	Q58910721
His Chance in Life	Q5771939
His Wedded Wife	Q5772204
The Other Man	Q7755499
The Possessed	Q7757837
Lispeth	Q6559098
Soldiers Three	Q7557397
Recessional	Q7302393
The Bell Buoy	Q7716388
The King's Pilgrimage	Q7744466
Wee Willie Winkie and Other Child Stories	Q7979316
Puck of Pook's Hill	Q4342308
The White Seal	Q3822425
Captains Courageous	Q1035138
Letting in the Jungle	Q6533841
The White Man's Burden	Q908734
The Adulterous Woman	Q7712420
The Mother Hive	Q7752420
Plain Tales from the Hills	Q3484772
Mowgli's Brothers	Q3790833
Drums of the Fore and Aft	Q5309299
Learoyd, Mulvaney and Ortheris	Q6510242
The Renegade	Q7760191
The Butterfly that Stamped	Q7720818
Tiger! Tiger!	Q7801341
Toomai of the Elephants	Q3993374
All the Mowgli Stories	Q4730157
Fuzzy-Wuzzy	Q5511057
The Second Jungle Book	Q1101819
If—	Q1419321
The Conversion of Aurelian McGoggin	Q7727525
The Gods of the Copybook Headings	Q7736942
The Rescue of Pluffles	Q7760258
Big Steamers	Q4906463
Danny Deever	Q5220275
Rewards and Fairies	Q7319037
Reflections on the Guillotine	Q7307306
The Phantom 'Rickshaw and other Eerie Tales	Q7756815
The Story of the Gadsbys	Q7766836
Three and – an Extra	Q7797942
The Silent Men	Q18574061
Baa Baa, Black Sheep	Q4837096
Barrack-Room Ballads	Q4863158
The Growing Stone	Q16385885
The Ballad of East and West	Q7715415
The Taking of Lungtungpen	Q7767939
Watches of the Night	Q7973125
Resistance, Rebellion, and Death	Q3237054
Kaa's Hunting	Q6343197
The Arrest of Lieutenant Golightly	Q7714326
The Last of the Light Brigade	Q7746252
The Sing-Song of Old Man Kangaroo	Q7764385
Internacia Krestomatio	Q12349326
Révolte dans les Asturies	Q3458274
Caligula	Q2632077
Algerian Chronicles	Q63128604
Albert Camus, María Casares. Correspondence (1944-1959)	Q47632985
Aux arbres	Q19133944
À Vianden	Q19130771
Über das Böse	Q330950
Pandora's Box	Q1211843
Franziska	Q5493051
Spring Awakening	Q2549073
